,combination_name,drug_name_1,drug_name_2,snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name,total_cases_md_snomed_drugs,total_cases_md_drugs,relative_frequency_md (y_obs),total_cases_sd_snomed_drug1,total_cases_sd_drug_1,total_cases_sd_snomed_drug2,total_cases_sd_drug_2,bliss_independence (y_pred),bliss_ratio,chi2_obs,chi2_exp,chi2_ratio,chi2,p
17636,macitentan & treprostinil,macitentan,treprostinil,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,41,2408,0.01703,156,10192,16,1280,0.02762,0.61658,0.017321504013519222,0.015221238938053097,1.1379825311207397,0.41841435254197507,0.5177293137427341
17645,epoprostenol & bosentan,epoprostenol,bosentan,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,22,1036,0.02124,117,7134,77,6235,0.02855,0.74396,0.021696252465483234,0.014724857685009488,1.4734439496533074,2.5058428398810713,0.11342478758735429
17652,selexipag & bosentan,selexipag,bosentan,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,17,773,0.02199,62,3749,77,6235,0.02869,0.76647,0.022486772486772486,0.014118842051802945,1.5926782383616915,2.7289675053006173,0.09854297291403558
17655,treprostinil & bosentan,treprostinil,bosentan,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,19,756,0.02513,16,1280,77,6235,0.0247,1.01741,0.025780189959294438,0.012530315278900566,2.057425482557885,7.440828555377614,0.006376052946062618
17658,epoprostenol & ambrisentan,epoprostenol,ambrisentan,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",7,1186,0.0059,37,7134,40,2956,0.01865,0.31635,0.005937234944868533,0.0076900029961050635,0.7720718636749171,0.22714126900011733,0.6336516840328353
17659,epoprostenol & macitentan,epoprostenol,macitentan,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",16,3473,0.00461,37,7134,112,10192,0.01612,0.28598,0.0046282904252241824,0.00867439017290563,0.533558017678361,5.364193851283705,0.02055428663824281
17666,ambrisentan & selexipag,ambrisentan,selexipag,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",20,2479,0.00807,40,2956,32,3749,0.02195,0.36765,0.008133387555917039,0.010854816824966078,0.7492883285888573,1.046136020811796,0.30639867732722587
17668,macitentan & selexipag,macitentan,selexipag,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",35,5362,0.00653,112,10192,32,3749,0.01944,0.33591,0.006570302233902759,0.010437051532941943,0.6295170827858082,5.6857572289843565,0.01710315719090846
17670,ambrisentan & treprostinil,ambrisentan,treprostinil,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",8,1337,0.00598,40,2956,8,1280,0.0197,0.30355,0.006019563581640331,0.011461318051575931,0.5252069224981188,2.4089258794607638,0.12064512117380646
17671,macitentan & treprostinil,macitentan,treprostinil,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",19,2408,0.00789,112,10192,8,1280,0.01717,0.45952,0.00795311845960653,0.010570824524312896,0.7523650062787778,1.0792600346557482,0.2988631502648412
17681,selexipag & bosentan,selexipag,bosentan,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",6,773,0.00776,32,3749,83,6235,0.02174,0.35695,0.007822685788787484,0.011652649711216942,0.6713224873873364,0.6038476010029191,0.43711374622251686
17684,treprostinil & bosentan,treprostinil,bosentan,1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications",6,756,0.00794,8,1280,83,6235,0.01948,0.4076,0.008,0.012257543103448275,0.6526593406593407,0.7032418627818972,0.4016965207678317
17693,epoprostenol & ambrisentan,epoprostenol,ambrisentan,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,13,1186,0.01096,82,7134,40,2956,0.02486,0.44087,0.011082693947144074,0.012239165329052969,0.90551060053387,0.03894166356846441,0.8435642788123474
17696,epoprostenol & macitentan,epoprostenol,macitentan,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,36,3473,0.01037,82,7134,147,10192,0.02574,0.40287,0.01047425080011638,0.013394162718605603,0.7820011612645841,1.6502521839193065,0.19892461099094724
17707,ambrisentan & selexipag,ambrisentan,selexipag,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,26,2479,0.01049,40,2956,50,3749,0.02669,0.39303,0.01059926620464737,0.013605442176870748,0.7790460660415817,1.0256419036666695,0.31118446171109004
17709,macitentan & selexipag,macitentan,selexipag,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,64,5362,0.01194,147,10192,50,3749,0.02757,0.43308,0.0120800302000755,0.014333527357392316,0.8427813962935923,1.2392592104309466,0.2656138698078091
17715,ambrisentan & treprostinil,ambrisentan,treprostinil,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,12,1337,0.00898,40,2956,20,1280,0.02894,0.3103,0.009056603773584906,0.014367816091954023,0.6303396226415094,1.75808470407407,0.1848635919976111
17716,macitentan & treprostinil,macitentan,treprostinil,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,36,2408,0.01495,147,10192,20,1280,0.02981,0.50151,0.01517706576728499,0.014772224679345422,1.0274055598751906,0.002775187474104473,0.9579868362101919
17723,epoprostenol & bosentan,epoprostenol,bosentan,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,14,1036,0.01351,82,7134,93,6235,0.02624,0.51486,0.0136986301369863,0.013263604668788844,1.03279843444227,0.0,1.0
17729,selexipag & bosentan,selexipag,bosentan,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,15,773,0.0194,50,3749,93,6235,0.02806,0.69138,0.01978891820580475,0.01453104359313078,1.3618373710721996,0.9532569897746245,0.3288916419224993
17742,epoprostenol & macitentan,epoprostenol,macitentan,14669001,Acute kidney injury,Renal failure and impairment,Renal and urinary disorders,13,3473,0.00374,8,7134,47,10192,0.00572,0.65385,0.0037572254335260114,0.003184528979213711,1.179837099316868,0.13916221368209689,0.7091153097014061
17749,macitentan & selexipag,macitentan,selexipag,14669001,Acute kidney injury,Renal failure and impairment,Renal and urinary disorders,13,5362,0.00242,47,10192,12,3749,0.0078,0.31026,0.0024303608151056274,0.004250108053594583,0.5718350650050225,2.9361195485963925,0.08661859280267739
17754,epoprostenol & ambrisentan,epoprostenol,ambrisentan,21639008,Fluid overload,Total fluid volume increased,Metabolism and nutrition disorders,12,1186,0.01012,51,7134,6,2956,0.00917,1.1036,0.010221465076660987,0.005681251868832851,1.7991571774410473,2.7888367402970218,0.09492311098934045
17755,epoprostenol & macitentan,epoprostenol,macitentan,21639008,Fluid overload,Total fluid volume increased,Metabolism and nutrition disorders,29,3473,0.00835,51,7134,68,10192,0.01377,0.60639,0.008420441347270616,0.006915790085430348,1.2175675148108023,0.7016664037270263,0.4022243243517557
17760,ambrisentan & selexipag,ambrisentan,selexipag,21639008,Fluid overload,Total fluid volume increased,Metabolism and nutrition disorders,6,2479,0.00242,6,2956,17,3749,0.00655,0.36947,0.002426202992317024,0.0034420832086201735,0.7048647128114067,0.3095022630322924,0.5779857773210005
17761,macitentan & selexipag,macitentan,selexipag,21639008,Fluid overload,Total fluid volume increased,Metabolism and nutrition disorders,25,5362,0.00466,68,10192,17,3749,0.01117,0.41719,0.00468427955780401,0.006134526558891455,0.7635926770933219,1.16495811819718,0.28043963860944476
17766,epoprostenol & bosentan,epoprostenol,bosentan,21639008,Fluid overload,Total fluid volume increased,Metabolism and nutrition disorders,9,1036,0.00869,51,7134,35,6235,0.01272,0.68318,0.008763388510223954,0.006474441014830987,1.353535925364009,0.44149699198509995,0.506400804697902
17770,epoprostenol & macitentan,epoprostenol,macitentan,22722001,Neuropathy peripheral,Peripheral neuropathies NEC,Nervous system disorders,7,3473,0.00202,13,7134,13,10192,0.0031,0.65161,0.002019619157530294,0.0015028901734104045,1.3438235163566958,0.21372396213511108,0.6438641274211668
17782,epoprostenol & ambrisentan,epoprostenol,ambrisentan,26079004,Tremor,Tremor (excl congenital),Nervous system disorders,7,1186,0.0059,11,7134,10,2956,0.00491,1.20163,0.005937234944868533,0.002085609295858576,2.8467627933276787,4.807633106755235,0.028333936206365668
17783,epoprostenol & macitentan,epoprostenol,macitentan,26079004,Tremor,Tremor (excl congenital),Nervous system disorders,8,3473,0.0023,11,7134,26,10192,0.00409,0.56235,0.002308802308802309,0.0021400890739776738,1.0788346788346788,0.0,1.0
17794,ambrisentan & selexipag,ambrisentan,selexipag,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,33,2479,0.01331,55,2956,57,3749,0.03353,0.39696,0.01349141455437449,0.01698771424237828,0.7941865728302768,1.1307764905831748,0.2876097726526766
17797,macitentan & selexipag,macitentan,selexipag,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,80,5362,0.01492,178,10192,57,3749,0.03239,0.46064,0.015145778114350625,0.017145775572741866,0.8833533397246368,0.7884469638432813,0.3745701429928753
17803,macitentan & sildenafil,macitentan,sildenafil,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,8,410,0.01951,178,10192,6,368,0.03348,0.58274,0.01990049751243781,0.017733230531996914,1.1222150118970367,0.015473859699719436,0.9010033477414037
17809,ambrisentan & treprostinil,ambrisentan,treprostinil,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,28,1337,0.02094,55,2956,27,1280,0.03931,0.53269,0.0213903743315508,0.01974000962927299,1.0836050606495369,0.06269143668371346,0.8022914993252208
17810,macitentan & treprostinil,macitentan,treprostinil,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,37,2408,0.01537,178,10192,27,1280,0.03818,0.40257,0.01560522986081822,0.018194727966628205,0.8576786577650678,0.5896728569700378,0.4425456507825253
17816,sildenafil & treprostinil,sildenafil,treprostinil,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,8,344,0.02326,6,368,27,1280,0.03705,0.6278,0.023809523809523808,0.02043343653250774,1.1652236652236652,0.03070047626914812,0.8609102946675322
17818,epoprostenol & bosentan,epoprostenol,bosentan,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,16,1036,0.01544,116,7134,116,6235,0.03456,0.44676,0.01568627450980392,0.017660044150110375,0.888235294117647,0.10972107859442957,0.7404619075129828
17825,selexipag & bosentan,selexipag,bosentan,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,8,773,0.01035,57,3749,116,6235,0.03352,0.30877,0.01045751633986928,0.017633268779940883,0.5930560278061128,1.7112183654378263,0.19082737009696632
17828,treprostinil & bosentan,treprostinil,bosentan,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,16,756,0.02116,27,1280,116,6235,0.0393,0.53842,0.021621621621621623,0.01939772110689094,1.1146475146475145,0.07217421304916431,0.7881970400280458
17832,epoprostenol & macitentan,epoprostenol,macitentan,32398004,Bronchitis,Lower respiratory tract and lung infections,Infections and infestations,10,3473,0.00288,19,7134,57,10192,0.00824,0.34951,0.0028876696505919725,0.0044057971014492756,0.6554250193777832,1.2508481586793263,0.2633905453917123
17846,epoprostenol & macitentan,epoprostenol,macitentan,42399005,Renal failure,Renal failure and impairment,Renal and urinary disorders,9,3473,0.00259,11,7134,42,10192,0.00565,0.45841,0.002598152424942263,0.0030683726046430845,0.8467525818118437,0.08456460363871054,0.7712043331617366
17861,epoprostenol & ambrisentan,epoprostenol,ambrisentan,43498006,Fluid retention,Total fluid volume increased,Metabolism and nutrition disorders,17,1186,0.01433,98,7134,23,2956,0.02141,0.66931,0.01454234388366125,0.012137626642592035,1.1981208774894132,0.3072174717684278,0.5793926963307229
17868,ambrisentan & selexipag,ambrisentan,selexipag,43498006,Fluid retention,Total fluid volume increased,Metabolism and nutrition disorders,26,2479,0.01049,23,2956,49,3749,0.02075,0.50554,0.01059926620464737,0.010854816824966078,0.976457399103139,0.0,1.0
17869,macitentan & selexipag,macitentan,selexipag,43498006,Fluid retention,Total fluid volume increased,Metabolism and nutrition disorders,65,5362,0.01212,152,10192,49,3749,0.02779,0.43613,0.012271096847272041,0.01462882096069869,0.8388302023956112,1.3374011636359817,0.2474927986977608
17877,ambrisentan & treprostinil,ambrisentan,treprostinil,43498006,Fluid retention,Total fluid volume increased,Metabolism and nutrition disorders,14,1337,0.01047,23,2956,9,1280,0.01476,0.70935,0.010582010582010581,0.007611798287345386,1.39021164021164,0.7299899007388867,0.39288646207427524
17878,macitentan & treprostinil,macitentan,treprostinil,43498006,Fluid retention,Total fluid volume increased,Metabolism and nutrition disorders,39,2408,0.0162,152,10192,9,1280,0.02184,0.74176,0.01646264246517518,0.014233931571037044,1.1565773225068101,0.5115834942392986,0.4744541758572549
17883,epoprostenol & bosentan,epoprostenol,bosentan,43498006,Fluid retention,Total fluid volume increased,Metabolism and nutrition disorders,20,1036,0.01931,98,7134,86,6235,0.02734,0.70629,0.01968503937007874,0.013955252180508153,1.4105828483396097,1.7367746321931083,0.18754802160994077
17889,treprostinil & bosentan,treprostinil,bosentan,43498006,Fluid retention,Total fluid volume increased,Metabolism and nutrition disorders,7,756,0.00926,9,1280,86,6235,0.02072,0.44691,0.009345794392523364,0.012803234501347708,0.7299557304476143,0.3972940452676919,0.5284900437086981
17892,epoprostenol & macitentan,epoprostenol,macitentan,43724002,Chills,Feelings and sensations NEC,General disorders and administration site conditions,27,3473,0.00777,36,7134,44,10192,0.00935,0.83102,0.00783517121300058,0.00463875681317407,1.6890670342426002,5.033666063376099,0.024859224181493896
17897,ambrisentan & selexipag,ambrisentan,selexipag,43724002,Chills,Feelings and sensations NEC,General disorders and administration site conditions,7,2479,0.00282,7,2956,19,3749,0.00743,0.37954,0.0028317152103559872,0.003892798323102261,0.727424072691063,0.3057521844109377,0.5802985883353167
17899,macitentan & selexipag,macitentan,selexipag,43724002,Chills,Feelings and sensations NEC,General disorders and administration site conditions,20,5362,0.00373,44,10192,19,3749,0.00937,0.39808,0.0037439161362785474,0.004539559014267186,0.8247312403059314,0.39397989506196773,0.5302147835543566
17901,ambrisentan & treprostinil,ambrisentan,treprostinil,43724002,Chills,Feelings and sensations NEC,General disorders and administration site conditions,7,1337,0.00524,7,2956,8,1280,0.00861,0.60859,0.005263157894736842,0.0035536602700781805,1.4810526315789474,0.3737367208049155,0.5409744473958754
17902,macitentan & treprostinil,macitentan,treprostinil,43724002,Chills,Feelings and sensations NEC,General disorders and administration site conditions,9,2408,0.00374,44,10192,8,1280,0.01054,0.35484,0.003751563151313047,0.004553415061295972,0.8239009843845192,0.1346138564338289,0.7136953940561384
17911,treprostinil & bosentan,treprostinil,bosentan,43724002,Chills,Feelings and sensations NEC,General disorders and administration site conditions,8,756,0.01058,8,1280,20,6235,0.00944,1.12076,0.0106951871657754,0.003739815680512889,2.859816653934301,5.95266383606713,0.014695063499431612
17913,epoprostenol & macitentan,epoprostenol,macitentan,54150009,Upper respiratory tract infection,Upper respiratory tract infections,Infections and infestations,11,3473,0.00317,18,7134,24,10192,0.00486,0.65226,0.0031773541305603697,0.002429993057162694,1.307556876014415,0.3702851803187392,0.5428488614686384
17921,epoprostenol & ambrisentan,epoprostenol,ambrisentan,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,18,1186,0.01518,75,7134,27,2956,0.01954,0.77687,0.015410958904109588,0.010212254705646776,1.5090652699435938,2.1299663884752533,0.14444392324528918
17925,ambrisentan & selexipag,ambrisentan,selexipag,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,60,2479,0.0242,27,2956,61,3749,0.02525,0.95842,0.024803637866887142,0.013299078132084027,1.8650644518771842,13.320436986910305,0.00026252898830618157
