snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
47505003,Post-traumatic stress disorder,Stress disorders,Psychiatric disorders
86022000,Monoplegia,Paralysis and paresis (excl cranial nerve),Nervous system disorders
195042002,Atrioventricular block second degree,Cardiac conduction disorders,Cardiac disorders
414850009,Neutrophilia,Leukocytoses NEC,Blood and lymphatic system disorders
88594005,Herpes simplex,Herpes viral infections,Infections and infestations
432119003,Aneurysm,Aneurysms and dissections non-site specific,Vascular disorders
88320008,Drug tolerance,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
81010002,Blood pressure systolic decreased,Vascular tests NEC (incl blood pressure),Investigations
309685001,Gingival swelling,"Gingival disorders, signs and symptoms NEC",Gastrointestinal disorders
402294001,Chapped lips,Oral soft tissue disorders NEC,Gastrointestinal disorders
126945001,Hypoxic-ischaemic encephalopathy,Encephalopathies NEC,Nervous system disorders
409702008,Hyperpyrexia,Febrile disorders,General disorders and administration site conditions
13213009,Heart disease congenital,Cardiac disorders congenital NEC,"Congenital, familial and genetic disorders"
71820002,Defaecation urgency,Gastrointestinal spastic and hypermotility disorders,Gastrointestinal disorders
423341008,Papilloedema,Optic disc abnormalities NEC,Eye disorders
105480006,Refusal of treatment by patient,Social issues NEC,Social circumstances
166643006,Hepatic enzyme abnormal,Liver function analyses,Investigations
73397007,Heparin-induced thrombocytopenia,Thrombocytopenias,Blood and lymphatic system disorders
33461007,Peritoneal dialysis complication,Dialysis related complications,"Injury, poisoning and procedural complications"
102866000,Urine abnormality,Urinary abnormalities,Renal and urinary disorders
51292008,Hepatorenal failure,Hepatic failure and associated disorders,Hepatobiliary disorders
51292008,Hepatorenal syndrome,Hepatic failure and associated disorders,Hepatobiliary disorders
102911000,Self-injurious ideation,Suicidal and self-injurious behaviour,Psychiatric disorders
111293003,Venous thrombosis,Non-site specific embolism and thrombosis,Vascular disorders
300331000,Hepatic lesion,Hepatic and hepatobiliary disorders NEC,Hepatobiliary disorders
161941007,Dyspnoea at rest,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
111224002,Meniscus injury,Bone and joint injuries NEC,"Injury, poisoning and procedural complications"
195295006,Raynaud's phenomenon,"Peripheral vasoconstriction, necrosis and vascular insufficiency",Vascular disorders
49453006,Brain herniation,Cerebral injuries NEC,"Injury, poisoning and procedural complications"
46737006,Normochromic normocytic anaemia,Anaemias NEC,Blood and lymphatic system disorders
268637002,Anorgasmia,Orgasmic disorders and disturbances,Psychiatric disorders
268637002,Orgasm abnormal,Orgasmic disorders and disturbances,Psychiatric disorders
190634004,Vitamin B12 deficiency,Water soluble vitamin deficiencies,Metabolism and nutrition disorders
35885006,Hyperuricaemia,Disorders of purine metabolism,Metabolism and nutrition disorders
34742003,Portal hypertension,Hepatic vascular disorders,Hepatobiliary disorders
25289003,Hyperacusis,Hyperacusia,Ear and labyrinth disorders
363478007,Thyroid cancer,Thyroid neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
81120009,Functional gastrointestinal disorder,Gastrointestinal disorders NEC,Gastrointestinal disorders
416010008,Hypospadias,Male reproductive tract disorders congenital,"Congenital, familial and genetic disorders"
396701002,Tumour marker increased,Cell marker analyses,Investigations
422076005,Type I hypersensitivity,Allergic conditions NEC,Immune system disorders
25906001,Ear disorder,Ear disorders NEC,Ear and labyrinth disorders
236570004,Kidney transplant rejection,Transplant rejections,Immune system disorders
216004,Persecutory delusion,Delusional symptoms,Psychiatric disorders
278919001,Communication disorder,Communications disorders,Psychiatric disorders
76627001,Mucormycosis,Fungal infections NEC,Infections and infestations
54385001,Exanthema subitum,Herpes viral infections,Infections and infestations
54385001,Herpes virus infection,Herpes viral infections,Infections and infestations
54385001,Roseola,Inflammatory disorders following infection,Infections and infestations
13200003,Gastroduodenal ulcer,Duodenal ulcers and perforation,Gastrointestinal disorders
13200003,Peptic ulcer,Peptic ulcers and perforation,Gastrointestinal disorders
30037006,Anal fissure,Anal and rectal disorders NEC,Gastrointestinal disorders
30037006,Anal fistula,Gastrointestinal fistulae,Gastrointestinal disorders
6185008,Helicobacter infection,Helicobacter infections,Infections and infestations
50122000,Metabolic encephalopathy,Encephalopathies toxic and metabolic,Nervous system disorders
306058006,Aplastic anaemia,Marrow depression and hypoplastic anaemias,Blood and lymphatic system disorders
247470007,Rash morbilliform,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders
89077005,Nail discolouration,Nail and nail bed conditions (excl infections and infestations),Skin and subcutaneous tissue disorders
35001004,Anaphylactoid reaction,Anaphylactic and anaphylactoid responses,Immune system disorders
35001004,Anaphylactoid shock,Anaphylactic and anaphylactoid responses,Immune system disorders
427488005,On and off phenomenon,Parkinson's disease and parkinsonism,Nervous system disorders
372281005,Breast enlargement,Breast disorders NEC,Reproductive system and breast disorders
62744007,Orthopnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
37156001,Jaw disorder,Bone disorders NEC,Musculoskeletal and connective tissue disorders
12295008,Bronchiectasis,Bronchial conditions NEC,"Respiratory, thoracic and mediastinal disorders"
71286001,Spinal cord compression,Spinal cord and nerve root disorders NEC,Nervous system disorders
86708008,Seborrhoea,Sebaceous gland disorders,Skin and subcutaneous tissue disorders
125608002,Lumbar vertebral fracture,Spinal fractures and dislocations,"Injury, poisoning and procedural complications"
400010006,Melanocytic naevus,Skin neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
58184002,Chronic lymphocytic leukaemia recurrent,Leukaemias chronic lymphocytic,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
58184002,Acute myeloid leukaemia recurrent,Leukaemias acute myeloid,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
58184002,Acute lymphocytic leukaemia recurrent,Leukaemias acute lymphocytic,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
312399001,Thyroid function test abnormal,Thyroid analyses,Investigations
17920008,Portal vein thrombosis,Hepatic vascular disorders,Hepatobiliary disorders
230802007,Brain death,Death and sudden death,General disorders and administration site conditions
87248009,Hepatic necrosis,Hepatocellular damage and hepatitis NEC,Hepatobiliary disorders
72863001,Snoring,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
154283005,Pulmonary tuberculosis,Tuberculous infections,Infections and infestations
89675003,Sleep terror,Parasomnias,Psychiatric disorders
225450009,Homicidal ideation,Behaviour and socialisation disturbances,Psychiatric disorders
41368006,Urethral disorder,Urethral disorders NEC,Renal and urinary disorders
41368006,Deformity,General signs and symptoms NEC,General disorders and administration site conditions
165558001,Platelet count abnormal,Platelet analyses,Investigations
39479004,Diffuse alopecia,Alopecias,Skin and subcutaneous tissue disorders
78129009,Thrombotic thrombocytopenic purpura,Thrombocytopenias,Blood and lymphatic system disorders
31892009,Haemothorax,Pneumothorax and pleural effusions NEC,"Respiratory, thoracic and mediastinal disorders"
58150001,Clavicle fracture,Limb fractures and dislocations,"Injury, poisoning and procedural complications"
5332004,Oculogyric crisis,Ocular nerve and muscle disorders,Eye disorders
4249000,Poor peripheral circulation,"Peripheral vasoconstriction, necrosis and vascular insufficiency",Vascular disorders
298382003,Scoliosis,Spine and neck deformities,Musculoskeletal and connective tissue disorders
428794004,Fistula,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders
394924000,Depressive symptom,Mood alterations with depressive symptoms,Psychiatric disorders
102619001,Oesophageal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders
102491009,Immobile,Disability issues,Social circumstances
57019003,Skin papilloma,Skin neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
47382004,Dermatophytosis,Tinea infections,Infections and infestations
47382004,Fungal skin infection,Fungal infections NEC,Infections and infestations
63593006,Supraventricular extrasystoles,Supraventricular arrhythmias,Cardiac disorders
85232009,Left ventricular failure,Left ventricular failures,Cardiac disorders
371631005,Panic disorder,Panic attacks and disorders,Psychiatric disorders
223176004,Cerebellar syndrome,Coordination and balance disturbances,Nervous system disorders
67531005,Spina bifida,Central nervous system disorders congenital NEC,"Congenital, familial and genetic disorders"
274668005,Non-cardiac chest pain,Pain and discomfort NEC,General disorders and administration site conditions
409985002,Arthropod bite,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
262966007,Muscle rupture,"Muscle, tendon and ligament injuries","Injury, poisoning and procedural complications"
80449002,Muscle fatigue,Muscle related signs and symptoms NEC,Musculoskeletal and connective tissue disorders
76388001,Electrocardiogram ST segment elevation,ECG investigations,Investigations
415111003,Plasmacytoma,Plasma cell myelomas,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
278849000,Cerebral atrophy,Structural brain disorders NEC,Nervous system disorders
370540009,Food allergy,"Allergies to foods, food additives, drugs and other chemicals",Immune system disorders
276322001,Skin plaque,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
95330001,Linear IgA disease,Bullous conditions,Skin and subcutaneous tissue disorders
301273002,Breath sounds abnormal,Physical examination procedures and organ system status,Investigations
111245009,Compartment syndrome,Myopathies,Musculoskeletal and connective tissue disorders
71906005,Paronychia,Skin structures and soft tissue infections,Infections and infestations
29596007,Hypercapnia,Conditions associated with abnormal gas exchange,"Respiratory, thoracic and mediastinal disorders"
25766007,Language disorder,Speech and language abnormalities,Nervous system disorders
3855007,Pancreatic disorder,Pancreatic disorders NEC,Gastrointestinal disorders
6631009,Thrombocytosis,Thrombocytoses,Blood and lymphatic system disorders
118254002,General symptom,General signs and symptoms NEC,General disorders and administration site conditions
58126003,Postoperative wound infection,Infections NEC,Infections and infestations
64156001,Thrombophlebitis,Peripheral embolism and thrombosis,Vascular disorders
47771009,Gastrointestinal injury,Abdominal and gastrointestinal injuries NEC,"Injury, poisoning and procedural complications"
